AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
410203,False,USFS Mendocino National Forest ,,2018,True,/incidents/2018/7/27/ranch-fire-mendocino-complex/,The fire has transitioned to the USFS Mendocino National Forest.  For future updates on this fire please visit Inciweb at:  https://inciweb.nwcg.gov/incident/6073/ ,,Colusa,"6,11,17,23",,,,2019-01-04T09:33:00Z,1,False,True,,,3,39.243283,"off Highway 20 near Potter Valley, northeast of Ukiah ",-123.103367,True,Ranch Fire (Mendocino Complex),100,,True,"The Ranch Fire started July 27, 2018 off Highway 20 near Potter Valley, northeast of Ukiah (Mendocino County). This fire was contained on September 19, 2018 and burned 410,203 acres.



Mendocino Complex - Size 459,123 total acres","Ranch Fire, Mendocino County, July 27, 2018

Mendocino Complex - Size 459,123 total acres",2018-07-27T12:05:00Z,Finalized,,246,,1050,90b0daf7-5d84-42d9-bb35-bb78d4faf950,2019-10-25T10:08:11.4Z,
410203,False,USFS Mendocino National Forest ,,2018,True,/incidents/2018/7/27/ranch-fire-mendocino-complex/,The fire has transitioned to the USFS Mendocino National Forest.  For future updates on this fire please visit Inciweb at:  https://inciweb.nwcg.gov/incident/6073/ ,,Glenn,"6,11,17,23",,,,2019-01-04T09:33:00Z,1,False,True,,,3,39.243283,"off Highway 20 near Potter Valley, northeast of Ukiah ",-123.103367,True,Ranch Fire (Mendocino Complex),100,,True,"The Ranch Fire started July 27, 2018 off Highway 20 near Potter Valley, northeast of Ukiah (Mendocino County). This fire was contained on September 19, 2018 and burned 410,203 acres.



Mendocino Complex - Size 459,123 total acres","Ranch Fire, Mendocino County, July 27, 2018

Mendocino Complex - Size 459,123 total acres",2018-07-27T12:05:00Z,Finalized,,246,,1050,90b0daf7-5d84-42d9-bb35-bb78d4faf950,2019-10-25T10:08:11.4Z,
410203,False,USFS Mendocino National Forest ,,2018,True,/incidents/2018/7/27/ranch-fire-mendocino-complex/,The fire has transitioned to the USFS Mendocino National Forest.  For future updates on this fire please visit Inciweb at:  https://inciweb.nwcg.gov/incident/6073/ ,,Lake,"6,11,17,23",,,,2019-01-04T09:33:00Z,1,False,True,,,3,39.243283,"off Highway 20 near Potter Valley, northeast of Ukiah ",-123.103367,True,Ranch Fire (Mendocino Complex),100,,True,"The Ranch Fire started July 27, 2018 off Highway 20 near Potter Valley, northeast of Ukiah (Mendocino County). This fire was contained on September 19, 2018 and burned 410,203 acres.



Mendocino Complex - Size 459,123 total acres","Ranch Fire, Mendocino County, July 27, 2018

Mendocino Complex - Size 459,123 total acres",2018-07-27T12:05:00Z,Finalized,,246,,1050,90b0daf7-5d84-42d9-bb35-bb78d4faf950,2019-10-25T10:08:11.4Z,
410203,False,USFS Mendocino National Forest ,,2018,True,/incidents/2018/7/27/ranch-fire-mendocino-complex/,The fire has transitioned to the USFS Mendocino National Forest.  For future updates on this fire please visit Inciweb at:  https://inciweb.nwcg.gov/incident/6073/ ,,Mendocino,"6,11,17,23",,,,2019-01-04T09:33:00Z,1,False,True,,,3,39.243283,"off Highway 20 near Potter Valley, northeast of Ukiah ",-123.103367,True,Ranch Fire (Mendocino Complex),100,,True,"The Ranch Fire started July 27, 2018 off Highway 20 near Potter Valley, northeast of Ukiah (Mendocino County). This fire was contained on September 19, 2018 and burned 410,203 acres.



Mendocino Complex - Size 459,123 total acres","Ranch Fire, Mendocino County, July 27, 2018

Mendocino Complex - Size 459,123 total acres",2018-07-27T12:05:00Z,Finalized,,246,,1050,90b0daf7-5d84-42d9-bb35-bb78d4faf950,2019-10-25T10:08:11.4Z,
229651,False,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area",,2018,True,/incidents/2018/7/23/carr-fire/,"Although full containment has been achieved, firefighters will continue to patrol the fire area

for several days and fire suppression repair remains ongoing.



<p>



<p>

<a href=""http://calfire-forestry.maps.arcgis.com/apps/PublicInformation/index.html?appid=5bbcbed430ad45e5a38e6be155ef5fec"" target=""_blank"">Carr Fire Structure Status Map</a>",,Shasta,"45,53",5,48,11,2019-01-04T09:37:00Z,3,False,True,,,0,40.65428,"Hwy 299 and Carr Powerhouse Rd, Whiskeytown",-122.62357,True,Carr Fire,100,456,True,"The Carr Fire started on July 23, 2018 off Hwy 299 and Carr Powerhouse Road, Whiskeytown (Shasta County). It was contained on August 30, 2018.","Carr Fire, July 20218, Shasta County",2018-07-23T13:15:00Z,Finalized,61,1614,,,240b1f55-0f4e-448d-a4ce-3ecfec7a6c9d,2019-10-25T09:47:17.29Z,31
229651,False,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area",,2018,True,/incidents/2018/7/23/carr-fire/,"Although full containment has been achieved, firefighters will continue to patrol the fire area

for several days and fire suppression repair remains ongoing.



<p>



<p>

<a href=""http://calfire-forestry.maps.arcgis.com/apps/PublicInformation/index.html?appid=5bbcbed430ad45e5a38e6be155ef5fec"" target=""_blank"">Carr Fire Structure Status Map</a>",,Trinity,"45,53",5,48,11,2019-01-04T09:37:00Z,3,False,True,,,0,40.65428,"Hwy 299 and Carr Powerhouse Rd, Whiskeytown",-122.62357,True,Carr Fire,100,456,True,"The Carr Fire started on July 23, 2018 off Hwy 299 and Carr Powerhouse Road, Whiskeytown (Shasta County). It was contained on August 30, 2018.","Carr Fire, July 20218, Shasta County",2018-07-23T13:15:00Z,Finalized,61,1614,,,240b1f55-0f4e-448d-a4ce-3ecfec7a6c9d,2019-10-25T09:47:17.29Z,31
153336,False,"Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS",,2018,True,/incidents/2018/11/8/camp-fire/,"<a href=""http://cdfdata.fire.ca.gov/pub/cdf/images/incidentfile2277_4330.pdf"" target=""_blank"">Camp Fire WERT Report</a>",See Incident Update,Butte,4,11,3,73,2018-11-25T08:00:00Z,85,False,True,,2,3,39.8134,Pulga Road at Camp Creek Road near Jarbo Gap,-121.4347,True,Camp Fire,100,1065,True,"The Camp Fire started on November 8, 2018 off Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) and burned 153,336 acres. It was contained November 25, 2018. ","Camp Creek Rd, Highway 70, Feather River Canyon, Pulga, Butte County, November 2018",2018-11-08T06:33:00Z,Finalized,,18804,,,75dafe80-f18a-4a4a-9a37-4b564c5f6014,2019-11-15T09:30:48.693Z,3
96949,False,Ventura County Fire Dept. and Los Angeles County Fire Dept.,,2018,True,/incidents/2018/11/8/woolsey-fire/,"<a href=""http://cdfdata.fire.ca.gov/pub/cdf/images/incidentfile2282_4328.pdf"" target=""_blank"">Woolsey-Hill Fires WERT Report - Final</a>



<p><a href=""http://cdfdata.fire.ca.gov/pub/cdf/images/incidentfile2282_4329.pdf"" target=""_blank"">Woolsey-Hill Fires WERT Report - Appendix F </a>",,Los Angeles,"19,56",,,,2019-01-04T08:42:00Z,3,False,True,,,0,34.235,"E Street and Alfa Road Rd, South of Simi Valley",-118.70128,True,Woolsey Fire,100,,True,"The Woolsey fire started on November 8, 2018 near E Street and Alfa Road Rd, South of Simi Valley (Ventura County). It burned 96,949 acres, and was contained on November 21, 2018.","Woolsey Fire, Los Angeles County, Ventura County, November 8, 2018. ",2018-11-08T14:24:00Z,Finalized,341,1643,,,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,2019-10-25T10:20:42.273Z,
96949,False,Ventura County Fire Dept. and Los Angeles County Fire Dept.,,2018,True,/incidents/2018/11/8/woolsey-fire/,"<a href=""http://cdfdata.fire.ca.gov/pub/cdf/images/incidentfile2282_4328.pdf"" target=""_blank"">Woolsey-Hill Fires WERT Report - Final</a>



<p><a href=""http://cdfdata.fire.ca.gov/pub/cdf/images/incidentfile2282_4329.pdf"" target=""_blank"">Woolsey-Hill Fires WERT Report - Appendix F </a>",,Ventura,"19,56",,,,2019-01-04T08:42:00Z,3,False,True,,,0,34.235,"E Street and Alfa Road Rd, South of Simi Valley",-118.70128,True,Woolsey Fire,100,,True,"The Woolsey fire started on November 8, 2018 near E Street and Alfa Road Rd, South of Simi Valley (Ventura County). It burned 96,949 acres, and was contained on November 21, 2018.","Woolsey Fire, Los Angeles County, Ventura County, November 8, 2018. ",2018-11-08T14:24:00Z,Finalized,341,1643,,,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,2019-10-25T10:20:42.273Z,
96901,False,USFS Sierra National Forest ,,2018,False,/incidents/2018/7/13/ferguson-fire/,,,Mariposa,22,,,,2019-01-04T09:48:00Z,,False,True,,,,37.6549,"Highway 140 and Hite Cove, near El Portal",-119.88581,False,Ferguson Fire,100,,True,"The Ferguson Fire started on July 13, 2018 at Highway 140 & Hite Cove, near El Portal in Mariposa County and burned 96,901 acres. It was contained on August 19, 2018.","Ferguson Fire, July 2018, Mariposa County",2018-07-13T21:36:00Z,Finalized,,,,,29d15973-a999-409e-adf4-486854df44ed,2019-01-04T09:48:00Z,
90288,False,CAL FIRE Sonoma-Lake-Napa Unit,,2018,True,/incidents/2018/6/30/county-fire/,"Fire Suppression Repair Teams continue working around the fire perimeter and affected areas. This

will be the final update",,Napa,"28,57",,,,2019-01-04T09:57:00Z,,False,True,,,1,38.80583,east of Lake Berryessa,-122.18183,True,County Fire,100,,True,"The County Fire started June 30 2018 near County Road 63 and Highway 16, Rumsey Canyon (Yolo County). The fire burned  was contained on July 14, 2018, and burned 90,288 acres .","Guinda Fire, County Road 63, Highway 16, Rumsey Canyon, Yolo County, County Fire",2018-06-30T14:12:00Z,Finalized,,29,,,97ff14e8-6d08-4214-ad3b-847fa3a0e84a,2019-10-25T09:35:15.107Z,
90288,False,CAL FIRE Sonoma-Lake-Napa Unit,,2018,True,/incidents/2018/6/30/county-fire/,"Fire Suppression Repair Teams continue working around the fire perimeter and affected areas. This

will be the final update",,Yolo,"28,57",,,,2019-01-04T09:57:00Z,,False,True,,,1,38.80583,east of Lake Berryessa,-122.18183,True,County Fire,100,,True,"The County Fire started June 30 2018 near County Road 63 and Highway 16, Rumsey Canyon (Yolo County). The fire burned  was contained on July 14, 2018, and burned 90,288 acres .","Guinda Fire, County Road 63, Highway 16, Rumsey Canyon, Yolo County, County Fire",2018-06-30T14:12:00Z,Finalized,,29,,,97ff14e8-6d08-4214-ad3b-847fa3a0e84a,2019-10-25T09:35:15.107Z,
63311,False,USFS Shasta-Trinity National Forest,,2018,True,/incidents/2018/9/5/delta-fire/,,,Shasta,"45,53",,,,2019-01-04T09:07:00Z,,False,True,,,,40.9425,"I-5 and Lamoine, 2 miles NW of Lakehead ",-122.43,False,Delta Fire,100,,True,"The Delta Fire started on September 5, 2018 at I-5 and Lamoine, 2 miles NW of Lakehead in Shasta County and burned 63,311 acres before being contained on October 7, 2018.","Delta Fire, September 2018, Shasta County",2018-09-05T12:51:00Z,Finalized,,42,,,ba818380-4001-46a2-ac04-d5f322cdf3b9,2019-10-25T10:17:21.687Z,
